Region Code: OA,,,,,,,,,
Region Name: Oceania,,,,,,,,,
Country Code: AUS,,,,,,,,,
Country Name: Australia,,,,,,,,,
Export date: 6/10/2025 7:18:47 AM,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,
Metadata information: ,,,,,,,,,
,,,,,,,,,
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age25_29,[25-29],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age30_34,[30-34],10,0.93632959,,0.67552642
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age35_39,[35-39],22,1.51098901,,1.37272043
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age40_44,[40-44],68,3.52697095,,4.48141465
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age45_49,[45-49],167,5.70550051,,10.75571454
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age50_54,[50-54],325,8.12703176,,23.05500854
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age55_59,[55-59],520,9.62072155,,40.42998848
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age60_64,[60-64],917,12.12962963,,81.32619342
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age65_69,[65-69],1056,11.4895006,,126.8825111
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age70_74,[70-74],1206,9.8828157,,181.6497594
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age75_79,[75-79],1448,7.96041781,,262.4567255
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age80_84,[80-84],1295,5.13827719,,305.0669381
CG0670,"Trachea, bronchus, lung cancers",2008,All,Age85_over,[85+],922,1.81100352,,257.2070991
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age25_29,[25-29],4,0.43763676,,0.24903949
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age30_34,[30-34],6,0.5842259,,0.39937697
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age35_39,[35-39],20,1.32450331,,1.23614284
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age40_44,[40-44],66,3.38983051,,4.32080257
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age45_49,[45-49],164,5.45938748,,10.4283774
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age50_54,[50-54],322,7.76090624,,22.38417925
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age55_59,[55-59],544,10.01104159,,41.64889826
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age60_64,[60-64],872,11.46764861,,74.57383023
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age65_69,[65-69],1052,11.50858768,,121.1318691
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age70_74,[70-74],1260,10.42183623,,183.6924813
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age75_79,[75-79],1257,7.47546833,,227.7281176
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age80_84,[80-84],1268,5.24682418,,293.548417
CG0670,"Trachea, bronchus, lung cancers",2009,All,Age85_over,[85+],951,1.90546795,,253.5513182
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age15_19,[15-19],1,0.18903592,,0.06674458
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age25_29,[25-29],5,0.59737157,,0.30167041
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age30_34,[30-34],2,0.19782394,,0.13080505
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age35_39,[35-39],22,1.51410874,,1.36136676
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age40_44,[40-44],67,3.44827586,,4.32366854
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age45_49,[45-49],158,5.3432533,,10.02628409
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age50_54,[50-54],319,7.82246199,,21.73178481
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age55_59,[55-59],521,9.54212454,,39.31467207
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age60_64,[60-64],874,11.53034301,,72.16037768
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age65_69,[65-69],1134,12.11667913,,124.8655273
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age70_74,[70-74],1305,10.5437505,,183.7893563
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age75_79,[75-79],1318,8.05032983,,238.3096289
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age80_84,[80-84],1288,5.30608882,,292.7878266
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age85_over,[85+],1088,2.06228557,,275.8347932
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age20_24,[20-24],1,0.13495277,,0.06204771
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age25_29,[25-29],3,0.34443169,,0.18092234
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age30_34,[30-34],9,0.87633885,,0.58587609
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age35_39,[35-39],25,1.7921147,,1.58840086
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age40_44,[40-44],59,3.11181435,,3.71713486
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age45_49,[45-49],177,6.25884017,,11.47981272
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age50_54,[50-54],341,8.30087634,,22.82366942
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age55_59,[55-59],577,10.4038947,,43.18884904
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age60_64,[60-64],899,11.43038779,,73.3278956
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age65_69,[65-69],1166,12.23119689,,122.1889213
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age70_74,[70-74],1235,9.8855359,,169.7195573
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age75_79,[75-79],1284,7.78276155,,229.9669915
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age80_84,[80-84],1230,5.05714991,,277.0070626
CG0670,"Trachea, bronchus, lung cancers",2011,All,Age85_over,[85+],1111,1.99436337,,275.2677729
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age00,[0],1,0.09699321,,0.32785058
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age05_09,[5-9],1,0.78125,,0.07044337
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age25_29,[25-29],3,0.35252644,,0.1768283
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age30_34,[30-34],4,0.4069176,,0.25138987
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age35_39,[35-39],9,0.69124424,,0.57827609
